College,Category,Tution Fee,Semester Fee ( Non-Refundable ),Non-refundable one time payment,Hostel  & Mess Fee,Refundable Deposit (one time payment at the time of Admission ),Total Amount
IIITM - Gwalior,General  /  OBC / EWS     ( Income  below 1L ),87000,10000,12250,32000,15000,156250
IIITM - Gwalior,SC / ST,0,10000,12250,32000,15000,69250
IIITN  - Nagpur,General  /  OBC     ( Income  > 5L ),99000,15150,16000,56000,7000,193150
IIITN  - Nagpur,General  /  OBC / EWS     ( Income  1L to 5L ),99000,15150,16000,56000,7000,193150
IIITN  - Nagpur,General  /  OBC / EWS     ( Income  below 1L ),99000,15150,16000,56000,7000,193150
IIITN  - Nagpur,SC / ST / All PwD,99000,15150,16000,56000,7000,193150
"IIITV-ICD, Diu",General  /  OBC     ( Income  > 5L ),125000,10060,5100,56500,20000,216660
"IIITV-ICD, Diu",General  /  OBC / EWS     ( Income  1L to 5L ),125000,10060,5100,56500,20000,216660
"IIITV-ICD, Diu",General  /  OBC / EWS     ( Income  below 1L ),125000,10060,5100,56500,20000,216660
"IIITV-ICD, Diu",SC / ST / All PwD,125000,10060,5100,56500,20000,216660
