College,Category,Tution Fee,Semester Fee ( Non-Refundable ),Non-refundable one time payment,Hostel  & Mess Fee,Refundable Deposit (one time payment at the time of Admission ),Total Amount
IIIT - Lucknow,General  /  OBC / EWS     ( Income  below 1L ),124700,650,18000,38740,2000,184090
IIIT - Lucknow,SC / ST / All PwD,124700,650,18000,38740,2000,184090
IIIT - Nayaraipur,General  /  OBC     ( Income  > 5L ),75000,5350,7450,27350,12000,127150
IIIT - Nayaraipur,General  /  OBC / EWS     ( Income  1L to 5L ),75000,5350,7450,27350,12000,127150
IIIT - Nayaraipur,General  /  OBC / EWS     ( Income  below 1L ),75000,5350,7450,27350,12000,127150
IIIT - Nayaraipur,SC / ST / All PwD,75000,5350,7450,27350,12000,127150
IIIT - Pune,General  /  OBC     ( Income  > 5L ),120000,28375,2000,55385,10000,215760
IIIT - Pune,General  /  OBC / EWS     ( Income  1L to 5L ),120000,28375,2000,55385,10000,215760
IIIT - Pune,General  /  OBC / EWS     ( Income  below 1L ),120000,28375,2000,55385,10000,215760
IIIT - Pune,SC / ST / All PwD,120000,28375,2000,55385,10000,215760
IIIT - Raichur,General  /  OBC     ( Income  > 5L ),125000,29000,27000,61888,15000,257888
IIIT - Raichur,General  /  OBC / EWS     ( Income  1L to 5L ),125000,29000,27000,61888,15000,257888
IIIT - Raichur,General  /  OBC / EWS     ( Income  below 1L ),125000,29000,27000,61888,15000,257888
IIIT - Raichur,SC / ST / All PwD,125000,29000,27000,61888,15000,257888
IIIT - Ranchi,General  /  OBC     ( Income  > 5L ),110000,15000,3000,36000,10000,174000
IIIT - Ranchi,General  /  OBC / EWS     ( Income  1L to 5L ),110000,15000,3000,36000,10000,174000
IIIT - Ranchi,General  /  OBC / EWS     ( Income  below 1L ),110000,15000,3000,36000,10000,174000
IIIT - Ranchi,SC / ST / All PwD,110000,15000,3000,36000,10000,174000
"IIIT - Senapati, Manipur",General  /  OBC     ( Income  > 5L ),140000,5650,6000,57000,15000,223650
"IIIT - Senapati, Manipur",General  /  OBC / EWS     ( Income  1L to 5L ),140000,5650,6000,57000,15000,223650
"IIIT - Senapati, Manipur",General  /  OBC / EWS     ( Income  below 1L ),140000,5650,6000,57000,15000,223650
"IIIT - Senapati, Manipur",SC / ST / All PwD,140000,5650,6000,57000,15000,223650
IIIT - Sonepat,General  /  OBC     ( Income  > 5L ),90000,11749,10319,50400,10148,172616
IIIT - Sonepat,General  /  OBC / EWS     ( Income  1L to 5L ),90000,11749,10319,50400,10148,172616
IIIT - Sonepat,General  /  OBC / EWS     ( Income  below 1L ),90000,11749,10319,50400,10148,172616
IIIT - Sonepat,SC / ST / All PwD,90000,11749,10319,50400,10148,172616
IIIT - Sricity,General  /  OBC     ( Income  > 5L ),175000,1500,19000,44000,20000,259500
IIIT - Sricity,General  /  OBC / EWS     ( Income  1L to 5L ),175000,1500,19000,44000,20000,259500
IIIT - Sricity,General  /  OBC / EWS     ( Income  below 1L ),175000,1500,19000,44000,20000,259500
IIIT - Sricity,SC / ST / All PwD,175000,1500,19000,44000,20000,259500
IIIT - Surat,General  /  OBC     ( Income  > 5L ),99100,15750,20000,51000,0,185850
IIIT - Surat,General  /  OBC / EWS     ( Income  1L to 5L ),99100,15750,20000,51000,0,185850
IIIT - Surat,General  /  OBC / EWS     ( Income  below 1L ),99100,15750,20000,51000,0,185850
IIIT - Surat,SC / ST / All PwD,99100,15750,20000,51000,0,185850
IIIT - Trichy,General  /  OBC     ( Income  > 5L )   / All PwD,115200,15600,13200,45600,12000,201600
IIIT - Trichy,General  /  OBC / EWS     ( Income  1L to 5L ),115200,15600,13200,45600,12000,201600
IIIT - Trichy,General  /  OBC / EWS     ( Income  below 1L ),115200,15600,13200,45600,12000,201600
IIIT - Trichy,SC / ST,0,15600,13200,45600,12000,86400
IIIT - Una,General  /  OBC     ( Income  > 5L ),105000,30000,0,47800,5000,187800
IIIT - Una,General  /  OBC / EWS     ( Income  1L to 5L ),105000,30000,0,47800,5000,187800
IIIT - Una,General  /  OBC / EWS     ( Income  below 1L ),105000,30000,0,47800,5000,187800
IIIT - Una,SC / ST / All PwD,105000,30000,0,47800,5000,187800
IIIT - Vadodara,General  /  OBC     ( Income  > 5L ),125000,10620,5100,77500,20000,238220
IIIT - Vadodara,General  /  OBC / EWS     ( Income  1L to 5L ),125000,10620,5100,77500,20000,238220
